id,review_text,sentiment_label,sentiment_score
335044540,Why. For what we pay why can’t I talk to a live person ?,NEGATIVE,0.995949387550354
334478709,Wonderful. Great customer service best I’ve ever had,POSITIVE,0.9998805522918701
334116804,Customer service (Zoey). What an amazing and outstanding employee Verizon has the pleasure of having!,POSITIVE,0.9998428821563721
333580487,Amazing to be with. Verizon is so good and amazing I have enjoyed every minute I have been with them and the coverage is amazing love it,POSITIVE,0.9998890161514282
332538157,Easy to navigate. Very easy to use and navigate the Verizon app! I love how I can do just about everything from it.,POSITIVE,0.9998224377632141
331670539,Easy and convenient. I love the convenience of Verizon My Verizon app and there partnerships make it so easy to maintain subscriptions and communication.,POSITIVE,0.9994794726371765
331592792,So hard to cancel plans. Why do you guys make it so hard to cancel a device on my l plan? I have been with VZW for 11+years and I’ve seen the MANY stages of this app. STOP HIDING OPTIONS in the app! I am sick and tired of this company making it hard to change/cancel things.,NEGATIVE,0.9990013241767883
331369785,"Low quality. absolutely, uncomfortable user not friendly",NEGATIVE,0.9997556805610657
330710270,"Verizon is garbage. Rates keep going up, cellular reception is one star on a good day, personnel is less than helpful.",NEGATIVE,0.9996227025985718
330205508,"Review. It helps me figure out how much my bills are each month, when it’s due, how much service I have left.",NEGATIVE,0.981027364730835
330035714,"Seems Sketchy on prepaid service. It seems like this app is incomplete for Prepay customers and has no features that would be of any use. A co worker of mine showed me his app and it looks like the app in the updated photos with the functionality of bill pay and multiple device recognition, however the app I am currently using (which came from the App Store on the phone) looks completely different and has several spelling errors. Every time I try to look up device information I get a flashing circle and then an error message that the app is unable to process my request. It seems this app is made for postpaid customers who are spending tons of money on the service and us prepay customers are getting the bare minimum that rarely works and offers no security or peace of mind in security.",NEGATIVE,0.9997912049293518
329931449,Raisa. 86th Street,POSITIVE,0.9669417142868042
329920093,Wretched. Worst app and support of any company in America,NEGATIVE,0.9998168349266052
326919604,"Garbage app. This has been a horrible app since its inception. The ap freezes up and crashes midway through every time I use it. Whether I’m trying to pay my bill, access my account or access parental controls.  Nightmare",NEGATIVE,0.9997896552085876
325608379,Advertisement Spam. Verizon constantly sends you spam and advertising through iOS notifications with no way to disable them.,NEGATIVE,0.998161256313324
325254372,Buddy. Buddy,POSITIVE,0.9982460737228394
324961970,lack of awareness. all services are gradually declining. and rates are going up. local passes sold out asap. bots.,NEGATIVE,0.9985814094543457
324869301,"Frustrating. This phone company makes billions charging customers excessive to pay for the useless adds we don’t watch. You’d think they make an app user-friendly, instead they’re too focused on getting more money. It should be simple to find your way around!",NEGATIVE,0.9987974166870117
324815406,Superb. It’s been great can’t complain,POSITIVE,0.9998621940612793
324797196,"Where is my bill?. Verizon, what have you done with this app? Where is mg bill? Why can I find literally everything except my bill?!?",NEGATIVE,0.999211311340332
324363698,"Rewards. I like that you have the $15 off of fandango at home. Keep them coming. But I can never claim a big reward like the top golf or I think one was a trip to Florida for buccaneers game, even if I wait for the clock to wind down to zero. It always says all the tickets have been claimed even though I waited for it to hit zero and can claim it.",NEGATIVE,0.9804847836494446
324316226,No good. Go with metro pcs this company is no good they are a bunch of thieves,NEGATIVE,0.9997368454933167
323050543,Satisfying. Prompt professional service.,POSITIVE,0.9998244643211365
322181002,Terrible interface. Can’t even add a card to my payment methods. This has been an ongoing issue for MONTHS. Someone needs some retraining over in the coding department.,NEGATIVE,0.9997425675392151
321311137,"Glitchy. For a major telecom company, this app is embarrassingly bad. Often times I'll open it and just receive a blank black screen. Other times I'll be trying to upgrade my service and the customer support rep will send a link that can't open. Just total garbage all around",NEGATIVE,0.9998237490653992
320228591,"Lying false advertising everywhere. Stay away from Verizon internet and phone. Hidden fees, false advertising and lying everywhere you look makes Verizon one of the scummiest internet and phone companies in existence. The app routinely lies about costs of internet and other services (it will show 40 a month and turn arround and charge you 99.99 a month.",NEGATIVE,0.9985485672950745
320143703,Jj. The app has improved. Scheduling payments at a future date has improved!  Paying a bill has become easier. Give that person who fixed this a raise,POSITIVE,0.9714890718460083
319938458,"Run!. Run run run! Run as fast as you can! I have been with this company for over 25 years and it’s been great, until about 3 years ago. It has been nothing but issue after issue. I don’t remember why but 3 years ago they made me get a new line in order to fix an issue.
My current issue started last year. I lost my phone, it was gone. Issue wanted nearly 400 to replace it, I couldn’t do that at the time. They suggested and talked me into getting a new phone by adding another line to my account. I would pay for both lines for a year, then once my old phone was paid off, I could cancel that line. Current time, beginning of August. I go in to do that,only to find out that they for some reason, they switched the phone numbers and phones. They wanted me to pay off the rest of my current phone in order to remove the added line. Then it was, we will switch your phone number and phones around so that you can close the phone that’s paid off. I’ve been in and out of the store. On the phone with several different agents and different times. I’ve tried to get them to fix it through chat. Still not fixed! 2 months still not fixed. Plus my bill normally is around 200, I was expected around 400 but they took 600 from my account. I go into my Verizon today and they are trying to charge me nearly 400 again this month. And nothing has been fixed on my account. So I got onto my Verizon again…I told them I was giving them one more shot to get it fixed, if they didn’t get in done I was going to AT&T.
After an hour my Verizon stopped working  and I could no longer login to my Verizon and my hotspot no longer worked. 
Guess I’ll be going to AT&T during my lunch break today.",NEGATIVE,0.9993395209312439
319700083,"Running away as fast I can. Been with Verizon my entire adult life. 
Awful, will gouge you for penny they can. 
Trying to cancel my plans and they won’t do it in store, how is that even legal? 
Crooks and thieves",NEGATIVE,0.9966170191764832
319676365,Terrible phone company. If I could switch phone companies I would. I don’t recommend their service to anyone,NEGATIVE,0.9995655417442322
